-248,552,-464
-144,608,-720
-184,672,-544
-144,696,-368
-40,720,-240
8,840,-224
72,832,-296
120,800,-432
216,792,-408
288,800,-416
336,768,-392
392,760,-368
432,736,-376
472,720,-392
496,720,-368
528,704,-320
552,688,-264
568,656,-296
576,680,-264
560,696,-224
552,712,-224
544,736,-216
544,776,-176
544,800,-152
8,992,-360
0,1000,-368
-8,1000,-384
-16,1008,-344
-32,1008,-336
-40,976,-288
-32,960,-384
-40,928,-280
-48,928,-208
-168,816,-112
-256,856,-416
-208,880,-264
-216,896,-352
-208,952,-352
-160,1008,-176
-192,1192,-392
-224,1152,-568
-288,1184,-664
-352,1216,-624
-360,1336,-536
-360,1432,-520
-344,1472,-376
-352,1496,-440
-328,1480,-488
-208,1040,-424
-152,728,-328
-72,504,-264
8,312,88
152,200,376
232,40,576
272,-16,656
256,32,536
160,16,320
72,80,-56
-80,328,-704
-384,672,-1448
-744,1128,-1936
-992,1384,-2040
-1048,1360,-1680
-952,1456,-1344
-760,1536,-1096
-616,1416,-992
-400,1080,-576
-160,808,-112
48,560,24
216,320,168
312,224,336
344,200,472
200,-56,432
56,-224,552
-64,-144,80
-240,104,-968
-608,656,-2160
-1096,1496,-2800
-1376,1872,-2392
-1224,1904,-1584
-920,1800,-992
-648,1536,-760
-344,1216,-616
-128,880,-296
16,520,24
120,232,256
216,128,392
248,120,496
208,88,504
112,64,472
0,-80,408
-96,-296,176
-144,-128,-448
-296,384,-1720
-792,992,-2624
-1248,1592,-2552
-1088,1840,-1016
-816,1680,-608
-576,1464,-544
-296,1080,-440
-88,664,-128
48,328,128
152,152,160
192,168,208
176,152,352
112,24,360
16,-88,288
-80,-120,128
-120,-88,-216
-144,0,-928
-312,416,-1656
-720,1160,-2080
-1120,1824,-2016
-1248,1992,-1456
-1032,2008,-784
-736,1824,-472
-496,1528,-672
-224,1160,-560
0,808,-120
120,512,112
248,168,312
288,104,336
224,144,240
120,144,112
16,72,80
-32,-24,-264
-112,128,-936
-296,616,-1504
-680,1024,-1928
-1016,1360,-1952
-1048,1480,-1616
-936,1376,-1264
-768,1192,-968
-576,1040,-976
-368,952,-712
-168,848,-368
0,680,-152
80,480,24
120,368,224
200,256,384
216,168,472
136,128,408
-8,0,208
-104,-192,-32
-496,336,-1736
-1096,1040,-2840
-1400,1528,-2536
-1336,1584,-1696
-1080,1544,-1208
-824,1440,-920
-528,1192,-656
-224,856,-304
32,552,0
232,256,304
272,80,464
224,72,576
136,120,536
16,144,448
-96,88,232
-152,-40,-96
-80,40,-568
-304,608,-2008
-856,1184,-2848
-1272,1432,-2280
-1200,1568,-1672
-952,1552,-1280
-712,1400,-792
-376,1160,-440
104,576,72
256,216,336
328,104,336
248,144,336
112,272,296
16,288,264
-80,56,200
-144,-168,32
-168,56,-784
-520,696,-2160
-912,1232,-2272
-1160,1544,-1768
-1112,1712,-1384
-928,1712,-944
-728,1552,-592
-432,1360,-264
-120,1128,-192
136,792,-16
288,416,320
376,208,344
328,136,400
144,40,416
-8,-120,400
-80,-280,272
104,576,72
256,216,336
328,104,336
248,144,336
112,272,296
16,288,264
-80,56,200
-144,-168,32
-168,56,-784
-520,696,-2160
-912,1232,-2272
-1160,1544,-1768
